seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.35,1.640737771987915,0.21331867040273023,4.127272738651796,0.5559436378963969,0.20129880427542896,0.05168514026344969,231,82
2,False,0.35,0.7820420265197754,0.447546280290794,5.0,0.6735,0.4011092216553855,0.0895092560581588,105,39
3,False,0.34999999999999987,0.8473033905029297,0.413075179354885,5.0,0.6735,0.39898755340887987,0.082615035870977,119,42
4,False,0.3500000000000001,0.7671823501586914,0.45621487502626035,5.0,0.6735,0.3978360174719082,0.09124297500525207,112,39
5,False,0.3500000000000001,0.9528851509094238,0.3673055453387679,5.0,0.6735,0.4001005266118842,0.07346110906775358,133,47
6,False,0.34999999999999964,0.723076581954956,0.48404278154565217,5.0,0.6735,0.4008774704483417,0.09680855630913043,98,37
7,False,0.3500000000000001,0.8540375232696533,0.40981805888345174,5.0,0.6735,0.4011909922183004,0.08196361177669034,119,42
8,False,0.3500000000000001,0.722053050994873,0.4847289261055768,5.0,0.6735,0.39799764003275057,0.09694578522111535,105,36
9,False,0.3500000000000001,0.8159716129302979,0.42893649050251687,5.0,0.6735,0.3955617579582818,0.08578729810050337,112,41
10,False,0.3500000000000001,0.8810138702392578,0.39726956841774835,5.0,0.6735,0.39921484020963866,0.07945391368354968,126,44
11,False,0.34999999999999964,0.831383466720581,0.42098503760314837,5.0,0.6735,0.4020063161805685,0.08419700752062967,112,42
