seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.35,4.5864551067352295,0.07631165940903323,4.686956525820753,0.6313330440280553,0.06671928798435746,0.01628170839405641,644,229
2,False,0.35,0.930044412612915,0.3763261143805937,5.0,0.6735,0.39304521853009805,0.07526522287611874,126,47
3,False,0.34999999999999987,0.8316779136657715,0.4208359922139946,5.0,0.6735,0.4012919322951357,0.08416719844279892,119,41
4,False,0.3500000000000001,0.8351669311523438,0.4190778956215116,5.0,0.6735,0.3962164839928169,0.08381557912430232,119,42
5,False,0.3500000000000001,0.8501310348510742,0.41170123857590146,5.0,0.6735,0.399597786312638,0.0823402477151803,119,43
6,False,0.34999999999999964,0.7773425579071045,0.45025194676376645,5.0,0.6735,0.4044099194670682,0.0900503893527533,105,38
7,False,0.3500000000000001,0.7990870475769043,0.4379998412705044,5.0,0.6735,0.4000216731686173,0.08759996825410088,112,40
