seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.7,1.5177314281463623,0.4612146701441933,6.200000002980232,0.8351400004014372,0.4807821341836341,0.07438946289072507,210,73
2,False,0.7,0.5674388408660889,1.233613121956159,14.18333331743876,1.910494997859001,1.1399544863459037,0.086976248414003,84,28
3,False,0.6999999999999997,0.5054693222045898,1.3848516007795884,15.0,2.0204999999999997,1.2096315561335067,0.09232344005197256,70,25
4,False,0.7000000000000002,0.5411310195922852,1.2935869034590084,15.0,2.0204999999999997,1.1994172325771804,0.08623912689726723,77,27
5,False,0.7000000000000002,0.5664534568786621,1.2357590751713685,15.0,2.0204999999999997,1.1976667712957565,0.0823839383447579,77,29
6,False,0.6999999999999993,0.548821210861206,1.2754609081189932,15.0,2.0204999999999997,1.197273997013919,0.08503072720793288,77,27
7,False,0.7000000000000002,0.5165629386901855,1.355110766898887,15.0,2.0204999999999997,1.1991680837584608,0.09034071779325914,70,26
8,False,0.7000000000000002,0.5856614112854004,1.1952298486998678,15.0,2.0204999999999997,1.198032973110324,0.07968198991332452,84,29
9,False,0.7000000000000002,0.4944496154785156,1.4157155311417486,15.0,2.0204999999999997,1.1955179887299523,0.0943810354094499,70,25
10,False,0.7000000000000002,0.5600953102111816,1.2497872901954277,15.0,2.0204999999999997,1.1980540590748652,0.08331915267969518,77,28
11,False,0.6999999999999993,0.567157506942749,1.2342250458313335,15.0,2.0204999999999997,1.2008870518298347,0.0822816697220889,77,28
12,False,0.6999999999999993,0.541374683380127,1.2930046813964025,15.0,2.0204999999999997,1.196407070269229,0.08620031209309349,77,27
13,False,0.7000000000000011,0.5683078765869141,1.2317267256684707,15.0,2.0204999999999997,1.2047815494073508,0.08211511504456472,84,29
14,False,0.6999999999999993,0.5474395751953125,1.2786799342196937,15.0,2.0204999999999997,1.2019698502143237,0.08524532894797958,77,27
15,False,0.7000000000000011,0.5344548225402832,1.309745876504352,15.0,2.0204999999999997,1.1957970107081508,0.0873163917669568,70,27
16,False,0.6999999999999993,0.5612888336181641,1.2471297451041012,15.0,2.0204999999999997,1.1966917456189239,0.08314198300694008,78,28
17,False,0.6999999999999993,0.5108070373535156,1.3703804936335449,8.092105263157896,1.0900065789473685,1.1488599913307325,0.16934783335959253,76,25
