seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.35,1.371840238571167,0.2551317494262602,5.5999999962471145,0.7543199994944862,0.2886866059817945,0.045559240999506936,189,69
2,True,0.35,0.4519224166870117,0.7744692165655499,12.799999978807238,1.7241599971453347,1.0519761989202823,0.06050540764436146,63,22
3,False,0.34999999999999987,0.6286537647247314,0.5567452541276904,14.984615399287296,2.0184276942839987,1.2019871586475943,0.03715445737460639,91,32
4,False,0.3500000000000001,0.5874295234680176,0.5958161549894516,15.0,2.0204999999999997,1.1773911483789965,0.03972107699929677,84,29
5,False,0.3500000000000001,0.5432674884796143,0.644249853749777,15.0,2.0204999999999997,1.1958210920066141,0.04294999024998513,77,27
6,False,0.34999999999999964,0.558854341506958,0.6262812579324697,15.0,2.0204999999999997,1.2063517864883273,0.04175208386216465,77,28
7,False,0.3500000000000001,0.5574591159820557,0.6278487335944227,15.0,2.0204999999999997,1.202628645736578,0.04185658223962818,77,28
8,False,0.3500000000000001,0.5331993103027344,0.6564149526023969,15.0,2.0204999999999997,1.2031257525405772,0.04376099684015979,77,27
9,False,0.3500000000000001,0.6034955978393555,0.5799545203860238,15.0,2.0204999999999997,1.194958487546264,0.03866363469240159,84,13
10,False,0.3500000000000001,0.5081808567047119,0.6887311778518532,15.0,2.0204999999999997,,0.04591541185679022,70,0
11,False,0.34999999999999964,0.5597255229949951,0.6253064861634499,15.0,2.0204999999999997,,0.04168709907756332,77,0
