seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.35,1.020796298980713,0.3428695816682354,4.39999998609225,0.592679998126626,0.28752220437373044,0.07792490517090807,147,51
2,True,0.35,0.43991756439208984,0.7956036046972925,9.700000047683716,1.3065900064229965,0.7516944477282579,0.08202098977177598,56,22
3,True,0.34999999999999987,0.34255528450012207,1.021732887614744,10.0,1.347,0.80681557408399,0.1021732887614744,49,17
4,True,0.3500000000000001,0.45757269859313965,0.7649057757950063,10.0,1.347,0.7839373551195794,0.07649057757950063,63,23
5,True,0.3500000000000001,0.37653684616088867,0.9295239060095867,10.0,1.347,0.8127096023543906,0.09295239060095867,56,19
6,True,0.34999999999999964,0.5025269985198975,0.6964799921812389,10.0,1.347,0.79197225834417,0.0696479992181239,70,25
7,False,0.3500000000000001,0.40710997581481934,0.8597185546718299,10.0,1.347,0.8002167316861725,0.08597185546718299,56,20
8,False,0.3500000000000001,0.3952972888946533,0.8854095634672441,10.0,1.347,0.8022540095361942,0.0885409563467244,56,20
9,False,0.3500000000000001,0.42661023139953613,0.8204210172170302,10.0,1.347,0.7977274134621339,0.08204210172170302,60,21
10,False,0.3500000000000001,0.4519946575164795,0.7743454356808173,10.0,1.347,0.8021993554588115,0.07743454356808173,66,23
11,False,0.34999999999999964,0.3564789295196533,0.9818252104594685,10.0,1.347,0.7934185811298945,0.09818252104594685,49,18
12,False,0.34999999999999964,0.40765953063964844,0.8585595912619125,10.0,1.347,0.7965106198526224,0.08585595912619125,56,20
13,False,0.35000000000000053,0.39456868171691895,0.8870445532499359,10.0,1.347,0.8068920676202861,0.08870445532499359,56,20
14,False,0.34999999999999964,0.39955878257751465,0.8759662289042525,10.0,1.347,0.7947984395318596,0.08759662289042525,56,20
15,False,0.35000000000000053,0.39381933212280273,0.8887323994822625,10.0,1.347,0.7986106358223256,0.08887323994822624,56,19
16,False,0.34999999999999964,0.3612997531890869,0.9687247137886266,10.0,1.347,0.8055555555555556,0.09687247137886265,49,18
17,False,0.34999999999999964,0.45395636558532715,0.7709992116724983,10.0,1.347,0.7886112210474737,0.07709992116724983,63,23
18,False,0.35000000000000053,0.3491795063018799,1.0023497762134164,10.0,1.347,0.8026296777922266,0.10023497762134163,49,18
19,False,0.34999999999999964,0.4733307361602783,0.7394406770184545,10.0,1.347,0.8032358983057236,0.07394406770184545,63,23
20,False,0.35000000000000053,0.3818094730377197,0.9166875751284027,10.0,1.347,0.7958045308329341,0.09166875751284027,56,19
21,False,0.34999999999999964,0.5019223690032959,0.6973189911719223,10.0,1.347,0.8005721716514954,0.06973189911719223,70,25
22,False,0.34999999999999964,0.3683803081512451,0.9501050741732397,10.0,1.347,0.8119567449182123,0.09501050741732397,49,19
23,False,0.34999999999999964,0.3610513210296631,0.9693912737996727,10.0,1.347,0.7984905275504219,0.09693912737996727,49,17
