seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.35,1.103665828704834,0.31712497650736315,4.599999995394186,0.6196199993795968,0.324861094692044,0.06894021235323673,154,55
2,True,0.35,0.4649195671081543,0.7528183900218152,9.880000019073487,1.3308360025691985,0.7747592393660128,0.07619619317494819,70,23
3,True,0.34999999999999987,0.36014413833618164,0.9718331155324467,10.0,1.347,0.8149833839040601,0.09718331155324467,49,18
4,True,0.3500000000000001,0.48584818840026855,0.7203896368378568,10.0,1.347,0.7900682704811444,0.07203896368378568,70,24
5,False,0.3500000000000001,0.35667991638183594,0.9812719582038794,10.0,1.347,0.7968020035640322,0.09812719582038794,49,18
6,False,0.34999999999999964,0.3993864059448242,0.8763442991305834,10.0,1.347,0.8065236237537927,0.08763442991305834,56,20
7,False,0.3500000000000001,0.42810511589050293,0.8175562192756419,10.0,1.347,0.8052173227725894,0.08175562192756419,56,22
8,False,0.3500000000000001,0.3629121780395508,0.9644206537534723,10.0,1.347,0.7974642392717816,0.09644206537534723,56,18
9,False,0.3500000000000001,0.3843700885772705,0.9105807408050667,10.0,1.347,0.7933520406999293,0.09105807408050667,49,19
10,False,0.3500000000000001,0.4152791500091553,0.8428065796038254,10.0,1.347,0.8042912873862158,0.08428065796038255,62,21
11,False,0.34999999999999964,0.3990778923034668,0.8770217713133872,10.0,1.347,0.7978977026441265,0.08770217713133872,54,20
12,False,0.34999999999999964,0.41187262535095215,0.8497772817549321,10.0,1.347,0.8036736020806241,0.0849777281754932,59,20
13,False,0.35000000000000053,0.4299449920654297,0.8140576270434544,10.0,1.347,0.7980060684872129,0.08140576270434544,56,22
14,False,0.34999999999999964,0.41196131706237793,0.8495943320498796,10.0,1.347,0.7939315127871696,0.08495943320498796,63,20
15,False,0.35000000000000053,0.40016603469848633,0.874636949794391,10.0,1.347,0.7961530125704378,0.0874636949794391,56,20
16,False,0.34999999999999964,0.3839907646179199,0.9114802548656556,10.0,1.347,0.8013870827915041,0.09114802548656556,49,20
17,False,0.34999999999999964,0.4390532970428467,0.7971697339647664,10.0,1.347,0.8030598573511447,0.07971697339647664,63,22
18,False,0.35000000000000053,0.41437458992004395,0.8446463864194355,10.0,1.347,0.7982661465106198,0.08446463864194355,56,20
19,False,0.34999999999999964,0.43521547317504883,0.8041993485356287,10.0,1.347,0.7970359361776786,0.08041993485356287,63,21
20,False,0.35000000000000053,0.41031575202941895,0.8530016170934284,10.0,1.347,0.800104425266974,0.08530016170934283,56,22
21,False,0.34999999999999964,0.36141395568847656,0.9684186083331124,10.0,1.347,0.7980542310841401,0.09684186083331124,51,18
22,False,0.34999999999999964,0.44727468490600586,0.7825169002657766,10.0,1.347,0.8029219371872167,0.07825169002657766,61,22
23,False,0.34999999999999964,0.40137243270874023,0.8720080690095139,7.5,1.0102499999999999,0.8009644560034677,0.11626774253460186,56,20
