seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.35,1.3945844173431396,0.2509708237431725,5.714285717478821,0.7697142861443971,0.4621739463015375,0.043919894130513025,196,34
2,True,0.35,0.5036649703979492,0.6949063773950024,10.0,1.347,0.7696662332032943,0.06949063773950023,70,25
3,False,0.34999999999999987,0.37978529930114746,0.9215733222008428,10.0,1.347,0.8116487577852304,0.09215733222008428,56,19
4,False,0.3500000000000001,0.4222748279571533,0.828844100637496,10.0,1.347,0.7834437632877164,0.08288441006374961,56,21
5,False,0.3500000000000001,0.38617968559265137,0.9063138561078684,10.0,1.347,0.8079877667003805,0.09063138561078685,56,18
6,False,0.34999999999999964,0.43926239013671875,0.7967902735562302,10.0,1.347,0.7917114264714197,0.07967902735562302,63,23
7,False,0.3500000000000001,0.42350292205810547,0.8264405787310705,10.0,1.347,0.7967352326910194,0.08264405787310705,56,22
8,False,0.3500000000000001,0.4107503890991211,0.852099010222822,10.0,1.347,0.797886866059818,0.0852099010222822,56,20
9,False,0.3500000000000001,0.39408254623413086,0.8881388007274481,10.0,1.347,0.8015171218032077,0.08881388007274481,56,20
10,False,0.3500000000000001,0.441267728805542,0.793169264716927,10.0,1.347,0.7999960594238877,0.0793169264716927,63,22
11,False,0.34999999999999964,0.36179614067077637,0.9673956149755869,10.0,1.347,0.8012088811828734,0.09673956149755869,49,18
12,False,0.34999999999999964,0.438399076461792,0.7983593460660572,10.0,1.347,0.7981735429719824,0.07983593460660572,63,22
13,False,0.35000000000000053,0.3923473358154297,0.8920667175490892,10.0,1.347,0.8073905504984829,0.08920667175490891,56,20
14,False,0.34999999999999964,0.39580655097961426,0.8842703566521468,10.0,1.347,0.7940934912052563,0.08842703566521468,56,19
15,False,0.35000000000000053,0.4196348190307617,0.834058529290782,10.0,1.347,0.8001940264619068,0.08340585292907819,56,21
16,False,0.34999999999999964,0.41303420066833496,0.8473874546796875,10.0,1.347,0.8015047371354262,0.08473874546796875,60,21
17,False,0.34999999999999964,0.42179393768310547,0.8297890717029586,10.0,1.347,0.8078725204863046,0.08297890717029585,59,21
18,False,0.35000000000000053,0.4133167266845703,0.8468082160805193,10.0,1.347,0.7983672879641671,0.08468082160805193,56,21
19,False,0.34999999999999964,0.4059872627258301,0.8620960117075408,10.0,1.347,0.8071413090593845,0.08620960117075407,56,20
20,False,0.35000000000000053,0.3853325843811035,0.9083062636972372,10.0,1.347,0.805956699290489,0.09083062636972372,56,19
21,False,0.34999999999999964,0.34969496726989746,1.0008722822992953,10.0,1.347,0.8109979290083321,0.10008722822992952,49,18
22,False,0.34999999999999964,0.43524932861328125,0.8041367946852698,10.0,1.347,0.8041364790389497,0.08041367946852698,56,21
