seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,1.05,1.7662904262542725,0.5944662238965471,7.200000002554485,0.969840000344089,0.5335861057942851,0.08256475328967176,245,89
2,False,1.05,0.652414083480835,1.6094073175090255,16.799999970656174,2.2629599960473863,1.3313827481577807,0.09579805478095875,91,32
3,False,1.0500000000000003,0.7049179077148438,1.4895351480058447,19.971428598676408,2.690151432241712,1.6046934450705583,0.07458330487707637,98,36
4,False,1.0499999999999998,0.647146463394165,1.6225075147485803,20.0,2.694,1.6029814152579107,0.08112537573742902,91,32
5,False,1.0499999999999998,1.132934331893921,0.9267968764303575,20.0,2.694,1.5988296488946685,0.04633984382151787,161,57
6,False,1.0500000000000007,0.6621136665344238,1.5858304292310064,20.0,2.694,1.6012728060842496,0.07929152146155032,91,33
7,False,1.0499999999999998,0.789557933807373,1.3298580826573854,20.0,2.694,1.5980071799317572,0.06649290413286926,112,39
8,False,1.0499999999999998,0.8282387256622314,1.2677504292744288,20.0,2.694,1.5997843003694758,0.06338752146372144,119,42
9,False,1.0500000000000007,0.8309516906738281,1.2636113648779557,20.0,2.694,1.5982957488872678,0.06318056824389778,112,41
10,False,1.049999999999999,0.7905042171478271,1.3282661587669242,20.0,2.694,1.606166016471608,0.06641330793834621,112,40
11,False,1.0500000000000007,0.8928756713867188,1.1759755962095522,20.0,2.694,1.6051690507152145,0.05879877981047761,126,44
12,False,1.0500000000000007,0.8054499626159668,1.3036191554218666,7.5,1.0102499999999999,1.376399505217419,0.1738158873895822,112,41
