seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,1.05,1.865422248840332,0.5628752421349903,7.599999997261408,1.0237199996311115,0.5577082699277869,0.07406253188655491,259,94
2,False,1.05,0.7356002330780029,1.4274057467415977,17.920000012715658,2.4138240017127988,1.418948206984618,0.07965433848932703,105,37
3,False,1.0500000000000003,0.7080841064453125,1.4828746902273466,20.0,2.694,1.602223047866741,0.07414373451136733,98,35
4,False,1.0499999999999998,0.734907865524292,1.428750526776465,20.0,2.694,1.61530125704378,0.07143752633882325,101,37
5,False,1.0499999999999998,0.864011287689209,1.215261901043233,20.0,2.694,1.5945252568018466,0.06076309505216165,123,43
6,False,1.0500000000000007,0.7606716156005859,1.3803591174767005,20.0,2.694,1.6094209841899938,0.06901795587383502,105,38
7,False,1.0499999999999998,0.8401806354522705,1.2497312550351547,20.0,2.694,1.6024108819947571,0.062486562751757735,119,42
8,False,1.0499999999999998,0.6961557865142822,1.5082830888434455,20.0,2.694,1.59980803764939,0.07541415444217228,98,35
9,False,1.0500000000000007,0.7404744625091553,1.4180097399199887,20.0,2.694,1.604980142691456,0.07090048699599943,105,37
10,False,1.049999999999999,0.7961857318878174,1.3187877626372033,20.0,2.694,1.5936009969657563,0.06593938813186016,106,40
11,False,1.0500000000000007,0.7704544067382812,1.3628321037777897,20.0,2.694,1.602668081126092,0.06814160518888948,111,38
12,False,1.0500000000000007,0.847123384475708,1.2394888622391822,11.764705882352942,1.5847058823529412,1.5191807542262679,0.10535655329033047,119,42
