seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.35,1.0870370864868164,0.3219761352679891,4.599999995394186,0.6196199993795968,0.3051863089791135,0.06999481208486352,154,54
2,True,0.35,0.400637149810791,0.8736084513512902,9.850000023841858,1.3267950032114981,0.7918942349371478,0.08869121312047988,56,20
3,True,0.34999999999999987,0.3463118076324463,1.010649918039953,10.0,1.347,0.80514546520819,0.10106499180399531,49,17
4,True,0.3500000000000001,0.479079008102417,0.7305684325145331,10.0,1.347,0.7965340991186244,0.07305684325145331,63,24
5,True,0.3500000000000001,0.31528520584106445,1.1101060040744042,10.0,1.347,0.817295188556567,0.11101060040744042,49,16
6,True,0.34999999999999964,0.4588630199432373,0.7627548631905349,10.0,1.347,0.7978270292682007,0.07627548631905348,63,23
7,False,0.3500000000000001,0.3980221748352051,0.8793479914653303,10.0,1.347,0.7963914174252276,0.08793479914653303,56,20
8,False,0.3500000000000001,0.42622995376586914,0.8211529877420519,10.0,1.347,0.7991516502569819,0.08211529877420519,56,21
9,False,0.3500000000000001,0.40303969383239746,0.8684008184701189,10.0,1.347,0.806317728651929,0.08684008184701189,56,20
10,False,0.3500000000000001,0.4378640651702881,0.799334834348379,10.0,1.347,0.8031288174331087,0.0799334834348379,63,22
11,False,0.34999999999999964,0.376953125,0.9284974093264239,10.0,1.347,0.7897930782743595,0.0928497409326424,56,19
12,False,0.34999999999999964,0.3930685520172119,0.8904299217116551,10.0,1.347,0.7936389250108367,0.08904299217116551,56,20
13,False,0.35000000000000053,0.4082014560699463,0.8574197734856369,10.0,1.347,0.8091894234937147,0.08574197734856369,56,20
14,False,0.34999999999999964,0.39296936988830566,0.8906546586556625,10.0,1.347,0.8061876896402254,0.08906546586556625,56,20
15,False,0.35000000000000053,0.47390127182006836,0.7385504551523743,10.0,1.347,0.8089690796127728,0.07385504551523743,63,24
16,False,0.34999999999999964,0.33730268478393555,1.0376436826294388,10.0,1.347,0.8002682054616385,0.10376436826294388,49,16
17,False,0.34999999999999964,0.4444460868835449,0.7874970898139726,10.0,1.347,0.8050639829630049,0.07874970898139726,63,23
18,False,0.35000000000000053,0.3975837230682373,0.8803177285502959,10.0,1.347,0.8018422193324664,0.08803177285502958,56,20
19,False,0.34999999999999964,0.4275822639465332,0.8185559353410533,10.0,1.347,0.795642661052284,0.08185559353410533,56,21
20,False,0.35000000000000053,0.3868997097015381,0.9046271972392983,10.0,1.347,0.7994547487053133,0.09046271972392983,56,19
21,False,0.34999999999999964,0.4460887908935547,0.7845971634905221,10.0,1.347,0.7883944893613012,0.07845971634905222,63,23
22,False,0.34999999999999964,0.3448004722595215,1.0150798161800794,10.0,1.347,0.8028124123511563,0.10150798161800793,49,17
23,False,0.34999999999999964,0.4305887222290039,0.8128406108459477,10.0,1.347,0.7996160752987801,0.08128406108459477,56,21
