seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.35,1.6442129611968994,0.21286780256568386,4.127272738651796,0.5559436378963969,0.20446784441836616,0.05157589915785858,231,82
2,False,0.35,0.8109276294708252,0.4316044826693033,5.0,0.6735,0.4006610316428262,0.08632089653386066,112,40
3,False,0.34999999999999987,0.8491342067718506,0.41218454893083767,5.0,0.6735,0.3926018890938599,0.08243690978616754,119,43
4,False,0.3500000000000001,0.7859785556793213,0.44530477004871344,5.0,0.6735,0.39849732697587054,0.08906095400974269,112,39
5,False,0.3500000000000001,0.8575394153594971,0.4081445047669014,5.0,0.6735,0.40186590860979227,0.08162890095338028,119,43
6,False,0.34999999999999964,0.7653782367706299,0.45729024315710765,5.0,0.6735,0.40296123924896765,0.09145804863142153,105,38
7,False,0.3500000000000001,0.8068439960479736,0.433788937780222,5.0,0.6735,0.400202987725586,0.0867577875560444,112,41
8,False,0.3500000000000001,0.8292555809020996,0.42206529333122506,5.0,0.6735,0.39852728176176433,0.08441305866624502,119,41
9,False,0.3500000000000001,0.8008847236633301,0.4370167012289405,5.0,0.6735,0.3995015171218032,0.0874033402457881,112,40
10,False,0.3500000000000001,0.8318510055541992,0.4207484244931839,5.0,0.6735,0.4027751976386567,0.08414968489863678,119,42
11,False,0.34999999999999964,0.7698979377746582,0.4546057117799961,5.0,0.6735,0.40188898774895626,0.09092114235599921,105,38
