seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.35,6.09637975692749,0.05741112167467668,4.761983474177763,0.6414391739717445,0.09123842506810766,0.012056136268845344,847,193
2,False,0.35,0.7895846366882324,0.44327103610831464,5.0,0.6735,0.3971987429562202,0.08865420722166292,112,40
3,False,0.34999999999999987,0.8736705780029297,0.40060866053203203,5.0,0.6735,0.3988601883595381,0.08012173210640641,126,44
4,False,0.3500000000000001,0.8199970722198486,0.4268307922764899,5.0,0.6735,0.3975070569951474,0.08536615845529798,112,41
5,False,0.3500000000000001,0.8391070365905762,0.4171100762330693,5.0,0.6735,0.40206307924123275,0.08342201524661386,119,42
6,False,0.34999999999999964,0.7694950103759766,0.45484375503486246,4.0,0.5388,0.392261538110556,0.11371093875871562,105,38
