seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,1.05,1.8711328506469727,0.5611573756705445,7.599999997261408,1.0237199996311115,0.6560708953426769,0.07383649682536217,259,81
2,False,1.05,0.6821854114532471,1.5391709971680636,17.77142858505249,2.3938114304065703,1.3948787577449706,0.08660930041733712,98,34
3,False,1.0500000000000003,0.6623330116271973,1.5853052491229387,20.0,2.694,1.60139759099447,0.07926526245614693,91,33
4,False,1.0499999999999998,0.5893003940582275,1.7817737958211028,20.0,2.694,1.607051004190146,0.08908868979105514,84,30
5,False,1.0499999999999998,0.6704037189483643,1.5662204285607084,20.0,2.694,1.6004452851006816,0.07831102142803542,91,33
6,False,1.0500000000000007,0.6648573875427246,1.5792860539321696,20.0,2.694,1.604987378566511,0.07896430269660848,98,34
7,False,1.0499999999999998,0.6534209251403809,1.6069274178423625,20.0,2.694,1.6111427178153446,0.08034637089211813,91,32
8,False,1.0499999999999998,0.6945886611938477,1.5116860649514159,20.0,2.694,1.601127004768097,0.07558430324757079,97,35
9,False,1.0500000000000007,0.6683385372161865,1.5710600863651212,20.0,2.694,1.6018770277547911,0.07855300431825606,92,33
10,False,1.049999999999999,0.6713149547576904,1.5640944575396716,20.0,2.694,1.6005507534613326,0.07820472287698357,91,34
11,False,1.0500000000000007,0.6495728492736816,1.6164468714695446,20.0,2.694,1.6041362913924682,0.08082234357347723,91,33
12,False,1.0500000000000007,0.7236964702606201,1.45088451187536,20.0,2.694,1.605879449019891,0.072544225593768,105,36
13,False,1.049999999999999,0.6292195320129395,1.6687339578301685,20.0,2.694,1.5990603632702713,0.08343669789150843,84,31
