seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,0.35,1.350416660308838,0.25917926687897613,5.5999999962471145,0.7543199994944862,0.29458504217932047,0.04628201197369058,189,65
2,True,0.35,0.7884085178375244,0.44393229154853975,13.75,1.8521249999999998,1.0821468662821068,0.0322859848398938,112,39
3,False,0.34999999999999987,0.5917425155639648,0.5914734716440471,15.0,2.0204999999999997,1.1927322641236815,0.03943156477626981,77,30
4,False,0.3500000000000001,0.5417187213897705,0.646091756072378,15.0,2.0204999999999997,1.20270031626772,0.04307278373815853,77,27
5,False,0.3500000000000001,0.5807671546936035,0.6026511609194743,15.0,2.0204999999999997,1.194692315740699,0.04017674406129829,84,29
6,False,0.34999999999999964,0.5580949783325195,0.6271333976982418,15.0,2.0204999999999997,1.194005820793857,0.04180889317988279,77,28
7,False,0.3500000000000001,0.5157148838043213,0.6786695730364092,15.0,2.0204999999999997,1.2031442766163183,0.04524463820242728,70,26
8,False,0.3500000000000001,0.5272214412689209,0.6638576745999123,15.0,2.0204999999999997,1.209021039645227,0.04425717830666082,77,26
9,False,0.3500000000000001,0.5318787097930908,0.6580447638826445,15.0,2.0204999999999997,1.193220311772544,0.04386965092550964,74,27
10,False,0.3500000000000001,0.5765380859375,0.6070717764132968,15.0,2.0204999999999997,1.2081553037339774,0.04047145176088645,80,28
11,False,0.34999999999999964,0.5469410419464111,0.639922721385923,15.0,2.0204999999999997,1.1948804879559105,0.04266151475906153,77,28
12,False,0.34999999999999964,0.5671873092651367,0.6170800973200002,15.0,2.0204999999999997,1.2081011208124344,0.04113867315466668,77,28
13,False,0.35000000000000053,0.5317776203155518,0.6581698564003386,15.0,2.0204999999999997,1.1994975035720594,0.043877990426689245,77,27
14,False,0.34999999999999964,0.5726156234741211,0.6112302662587369,15.0,2.0204999999999997,1.1998885379899684,0.040748684417249124,77,28
15,False,0.35000000000000053,0.5700826644897461,0.6139460499351772,15.0,2.0204999999999997,1.2022106631989598,0.040929736662345145,84,19
16,False,0.34999999999999964,0.6401591300964355,0.5467390583764299,15.0,2.0204999999999997,,0.036449270558428656,91,0
