seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,1.05,1.8478240966796875,0.5682359061594233,7.599999997261408,1.0237199996311115,0.5529013776596747,0.07476788241633975,259,92
2,False,1.05,0.9854452610015869,1.0655081936593829,18.35789474688078,2.472808422404841,1.4479622798404146,0.05804087060911083,133,49
3,False,1.0500000000000003,1.0956170558929443,0.9583640509723852,20.0,2.694,1.6026756511802027,0.04791820254861926,154,55
4,False,1.0499999999999998,0.8576433658599854,1.2242851070702712,20.0,2.694,1.603300369955948,0.06121425535351356,119,43
5,False,1.0499999999999998,0.9097356796264648,1.1541813996249186,20.0,2.694,1.5818908635553628,0.05770906998124593,128,45
6,False,1.0500000000000007,0.983245849609375,1.0678916167478825,20.0,2.694,1.5995318595578676,0.05339458083739412,138,50
7,False,1.0499999999999998,1.1272995471954346,0.9314294524576495,20.0,2.694,1.5977382500464423,0.04657147262288248,161,56
8,False,1.0499999999999998,0.8765685558319092,1.1978526870650694,20.0,2.694,1.6008935256334476,0.05989263435325347,119,44
9,False,1.0500000000000007,0.7923307418823242,1.3252041660096854,20.0,2.694,1.5865148433418916,0.06626020830048426,112,39
10,False,1.049999999999999,0.8623011112213135,1.2176720942790387,12.941176470588236,1.743176470588235,1.5358413725668087,0.0940928436488348,119,43
