seg,accel_phase,segment_m,dt_s,real_mps,ctrl_avg,pred_mps_cfg,vesc_avg_mps,implied_meters_per_unit,n_ctrl,n_vesc
1,True,1.05,1.7521352767944336,0.5992687972820203,7.200000002554485,0.969840000344089,0.6165217986448566,0.08323177737075084,245,76
2,False,1.05,0.7230384349822998,1.4522049578535952,17.2,2.3168399999999996,1.2446241118712424,0.08443052080544158,105,23
3,False,1.0500000000000003,0.6759469509124756,1.5533763390493622,20.0,2.694,,0.0776688169524681,91,0
4,False,1.0499999999999998,0.7900130748748779,1.329091926948549,20.0,2.694,,0.06645459634742745,112,0
5,False,1.0499999999999998,0.790729284286499,1.3278880912415547,20.0,2.694,1.3094464053501764,0.06639440456207774,112,14
6,False,1.0500000000000007,0.7312991619110107,1.435800907054467,20.0,2.694,1.5726402605466325,0.07179004535272335,98,37
7,False,1.0499999999999998,0.8413605690002441,1.2479786178328678,20.0,2.694,1.204027081140215,0.06239893089164339,119,42
